ida_ea	name	gate	result	session	date	source_ref	detail
0x006BDC00	?OnBankUnloaded@XModelPartsManager@@EAEXAAVXModelPartsBank@@@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BDC00;src/game/render/r_stubs.cpp:229	IDA release decompiles the entry point as an empty body; source preserves the bank-reference ABI and no-op behavior.
0x006BDC00	?OnBankUnloaded@XModelPartsManager@@EAEXAAVXModelPartsBank@@@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BDC00	Release and source both contain no state-changing instructions.
0x006CBE10	?PostProcess@XModelPartsManager@@AAEXPAVXModelPartsBank@@W4TPakId@@@Z	V3	PASS	mp-merv-cdb-20260827	2026-08-27	IDA:0x006CBE10;src/game/render/xmodel.cpp:322	Release PostProcess has no model-name special case; it asserts root-bone count, resolves non-sentinel animation definitions, and performs the hierarchy/mesh fixups. Source now preserves that control flow while deferring the map's generic "simple" and unavailable spotter sentinel definitions.
0x006CBE10	?PostProcess@XModelPartsManager@@AAEXPAVXModelPartsBank@@W4TPakId@@@Z	V4	PASS	mp-merv-cdb-20260827	2026-08-27	IDA:0x006CBE10;src/game/render/xmodel.cpp:350	Release DObjGetValidSubModelSkeleton falls back to the generic simple skeleton when mAnimDef is absent; direct +devmap mp_merv CDB ran about two minutes with no simple/spotter animdef assert or access violation after this asset-availability fix.
0x006BDEE0	?DObjCalcSkel@@YAXPAVDObj@@QAH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BDEE0;src/game/render/dobj.cpp:499	IDA release decompiles the entry point as an empty body; source preserves the DObj/part-bits ABI and no-op behavior.
0x006BDEE0	?DObjCalcSkel@@YAXPAVDObj@@QAH@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BDEE0	Release and source both contain no state-changing instructions.
0x006BE180	?DObjGetSurfaces@@YAXPAVDObj@@PAUDSurface_s@@QAHPAH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BE180;src/game/render/dobj.cpp:610	IDA release decompiles the entry point as an empty body; source preserves the DObj/surface/part-bits/LOD ABI and no-op behavior.
0x006BE180	?DObjGetSurfaces@@YAXPAVDObj@@PAUDSurface_s@@QAHPAH@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BE180	Release and source both contain no state-changing instructions.
0x006BED10	?R_IssueRenderCommands@@YAXH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BED10;src/game/render/r_stubs.cpp:169	IDA release decompiles the entry point as an empty body; source preserves the frame-count ABI and no-op behavior.
0x006BED10	?R_IssueRenderCommands@@YAXH@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BED10	Release and source both contain no state-changing instructions.
0x006BED30	?R_AddDrawSurfCmd@@YAXPAUdrawSurf_s@@H@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BED30;src/game/render/r_stubs.cpp:180	IDA release decompiles the entry point as an empty body; source preserves the draw-surface ABI and no-op behavior.
0x006BED30	?R_AddDrawSurfCmd@@YAXPAUdrawSurf_s@@H@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BED30	Release and source both contain no state-changing instructions.
0x006BF030	?RE_TrackStatistics@@YAXPAUtrStatistics_t@@@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BF030;src/game/render/r_stubs.cpp:192	IDA release decompiles the entry point as an empty body; source preserves the statistics pointer ABI and no-op behavior.
0x006BF030	?RE_TrackStatistics@@YAXPAUtrStatistics_t@@@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006BF030	Release and source both contain no state-changing instructions.
0x006C0400	?GL_CheckErrors@@YAXPBD@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C0400;src/game/render/screenshot.cpp:25	IDA release decompiles the entry point as an empty body; source preserves the message pointer ABI and no-op behavior.
0x006C0400	?GL_CheckErrors@@YAXPBD@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C0400	Release and source both contain no state-changing instructions.
0x006C0410	?R_TakeScreenshot@@YAXHHHHPAD@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C0410;src/game/render/screenshot.cpp:31	IDA release decompiles the entry point as an empty body; source preserves the screenshot ABI and no-op behavior.
0x006C0410	?R_TakeScreenshot@@YAXHHHHPAD@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C0410	Release and source both contain no state-changing instructions.
0x006C0420	?R_TakeScreenshotJPEG@@YAXHHHHPAD@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C0420;src/game/render/screenshot.cpp:37	IDA release decompiles the entry point as an empty body; source preserves the JPEG screenshot ABI and no-op behavior.
0x006C0420	?R_TakeScreenshotJPEG@@YAXHHHHPAD@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C0420	Release and source both contain no state-changing instructions.
0x006C04E0	?R_SaveGameShot@@YAXPBD@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C04E0;src/game/render/screenshot.cpp:66	IDA release decompiles the entry point as an empty body; source preserves the filename ABI and no-op behavior.
0x006C04E0	?R_SaveGameShot@@YAXPBD@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C04E0	Release and source both contain no state-changing instructions.
0x006C04F0	?RE_CubemapShot@@YAXPBDHHMM@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C04F0;src/game/render/screenshot.cpp:72	IDA release decompiles the entry point as an empty body; source preserves the cubemap-shot ABI and no-op behavior.
0x006C04F0	?RE_CubemapShot@@YAXPBDHHMM@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C04F0	Release and source both contain no state-changing instructions.
0x006C0500	?RE_CubemapWaterShot@@YAXPBDHHQAM1@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C0500;src/game/render/screenshot.cpp:78	IDA release decompiles the entry point as an empty body; source preserves the water-cubemap ABI and no-op behavior.
0x006C0500	?RE_CubemapWaterShot@@YAXPBDHHQAM1@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006C0500	Release and source both contain no state-changing instructions.
