ida_ea	name	gate	result	session	date	source_ref	detail
0x00804490	?RegisterVShader@apsShrimpRender@@YAXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsShrimpRenderer.cpp:20	Emitted namespace shader-registration body is non-empty and corresponds to the release function.
0x00804490	?RegisterVShader@apsShrimpRender@@YAXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00804490;src/aeps/apsShrimpRenderer.cpp:20	IDA release calls nglDxRegisterVShader(VS,VShaderTable[0]); source preserves the same call and operands.
0x008044B0	?RegisterPShader@apsShrimpRenderPixel@@YAXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsShrimpRenderer.cpp:27	Emitted namespace shader-registration body is non-empty and corresponds to the release function.
0x008044B0	?RegisterPShader@apsShrimpRenderPixel@@YAXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008044B0;src/aeps/apsShrimpRenderer.cpp:27	IDA release calls nglDxRegisterPShader(PS,PShaderTable[0]); source preserves the same call and operands.
0x008044D0	?InitPShader@apsShrimpRenderPixel@@YAXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsShrimpRenderer.cpp:33	Emitted namespace shader-registration body is non-empty and corresponds to the release function.
0x008044D0	?InitPShader@apsShrimpRenderPixel@@YAXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008044D0;src/aeps/apsShrimpRenderer.cpp:33	IDA release calls nglDxRegisterPShader(PS,PShaderTable[0]); source preserves the same call and operands.
0x008044F0	?Init@apsShrimpRenderer@@SAXXZ	V3	PASS	ida-manual-aps-renderers-20260830	2026-08-30	src/aeps/apsShrimpRenderer.cpp:41-44	Release/source perform unconditional vertex then pixel registration using restored shared tables.
0x008044F0	?Init@apsShrimpRenderer@@SAXXZ	V4	PASS	ida-manual-aps-renderers-20260830	2026-08-30	IDA:0x008044F0;src/aeps/apsShrimpRenderer.cpp:41-44;src/aeps/apsGenericRendererShaderData.cpp	Release/source control flow, calls, assertions, and restored shader table storage match exactly.
0x008045E0	?Render@apsShrimpRenderer@@UAE?AW4eRenderResult@apsRenderer@@ABUapsRendererRenderInfo@@@Z	V3	PASS	ida-manual-aps-renderers-20260830	2026-08-30	src/aeps/apsShrimpRenderer.cpp:101-190	Release/source match required Height/UVAFrame/Velocity assertions, node allocation/population, blend-color path, fog sorting, opaque-list insertion, and result codes.
0x008045E0	?Render@apsShrimpRenderer@@UAE?AW4eRenderResult@apsRenderer@@ABUapsRendererRenderInfo@@@Z	V4	PASS	ida-manual-aps-renderers-20260830	2026-08-30	IDA:0x008045E0;src/aeps/apsShrimpRenderer.cpp:101-190;src/aeps/apsGenericRendererShaderData.cpp	Release/source control flow, calls, assertions, and restored shader table storage match exactly.
