ida_ea	name	gate	result	session	date	source_ref	detail
0x0089EC80	?appendBasicType@bdBytePacker@@KA_NPAXIIAAIPBEI@Z	V3	PASS	bd-byte-packer-manual-20260830	2026-08-30	src/bd/stubs.cpp:155-178	Body initializes the output offset, preserves the assert-on-invalid-offset loop, copies only when capacity is sufficient, and returns the release boolean paths.
0x0089EC80	?appendBasicType@bdBytePacker@@KA_NPAXIIAAIPBEI@Z	V4	PASS	bd-byte-packer-manual-20260830	2026-08-30	IDA decompile:0x0089EC80	Release/source guard, memcpy destination offset, offset update, and success/failure returns match.
0x0089ECE0	?appendBuffer@bdBytePacker@@SA_NPAXIIAAIPBEI@Z	V3	PASS	bd-byte-packer-manual-20260830	2026-08-30	src/bd/stubs.cpp:180-198	Body mirrors release append-buffer bounds, optional copy, output-offset update, and return paths.
0x0089ECE0	?appendBuffer@bdBytePacker@@SA_NPAXIIAAIPBEI@Z	V4	PASS	bd-byte-packer-manual-20260830	2026-08-30	IDA decompile:0x0089ECE0	Release/source control flow and byte-copy behavior match exactly.
0x0089ED40	?removeBasicType@bdBytePacker@@KA_NPBXIIAAIPAEI@Z	V3	PASS	bd-byte-packer-manual-20260830	2026-08-30	src/bd/stubs.cpp:200-218	Body initializes output offset, checks bounds, optionally copies source bytes, advances offset, and returns status.
0x0089ED40	?removeBasicType@bdBytePacker@@KA_NPBXIIAAIPAEI@Z	V4	PASS	bd-byte-packer-manual-20260830	2026-08-30	IDA decompile:0x0089ED40	Release/source bounds, source offset, optional destination copy, offset update, and return paths match.
0x0089EDA0	?removeBuffer@bdBytePacker@@SA_NPBXIIAAIPAEI@Z	V3	PASS	bd-byte-packer-manual-20260830	2026-08-30	src/bd/stubs.cpp:220-238	Body mirrors release remove-buffer bounds, optional copy, output-offset update, and returns.
0x0089EDA0	?removeBuffer@bdBytePacker@@SA_NPBXIIAAIPAEI@Z	V4	PASS	bd-byte-packer-manual-20260830	2026-08-30	IDA decompile:0x0089EDA0	Release/source control flow and byte-copy behavior match exactly.
0x0089EEF0	?appendEncodedUInt16@bdBytePacker@@SA_NPAXIIAAIG@Z	V3	PASS	bd-byte-packer-manual-20260830	2026-08-30	src/bd/stubs.cpp:240-263	Body encodes one-byte values directly and two-byte values with high-bit prefix, using appendBasicType and propagated offsets.
0x0089EEF0	?appendEncodedUInt16@bdBytePacker@@SA_NPAXIIAAIG@Z	V4	PASS	bd-byte-packer-manual-20260830	2026-08-30	IDA decompile:0x0089EEF0	Release/source threshold 0x7F, high-byte prefix, second-byte append, and failure propagation match.
0x0089EFD0	?removeEncodedUInt16@bdBytePacker@@SA_NPBEIIAAIAAG@Z	V3	PASS	bd-byte-packer-manual-20260830	2026-08-30	src/bd/stubs.cpp:265-284	Body decodes the first byte, handles the single-byte case, reads the second byte when prefixed, and combines the result.
0x0089EFD0	?removeEncodedUInt16@bdBytePacker@@SA_NPBEIIAAIAAG@Z	V4	PASS	bd-byte-packer-manual-20260830	2026-08-30	IDA decompile:0x0089EFD0	Release/source first-byte failure, 0x80 branch, offset capture, value combination, and return paths match.
