ida_ea	name	gate	result	session	date	source_ref	detail
0x0089EAA0	?create@bdSecurityKeyMap@@QAE_NAAUXNKID@@AAUXNKEY@@@Z	V3	PASS	bdsecuritykey-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1669218-1669222;src/bd/bdSecurityKeyMap.cpp:22-24	Body delegates to XNetCreateKey with both output references and returns success when the API returns zero.
0x0089EAA0	?create@bdSecurityKeyMap@@QAE_NAAUXNKID@@AAUXNKEY@@@Z	V4	PASS	bdsecuritykey-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1669218-1669222;src/bd/bdSecurityKeyMap.cpp:22-24	Release/source API call, zero-status predicate, reference parameters, and return behavior match.
0x0089EAC0	?put@bdSecurityKeyMap@@QAE_NABUXNKID@@ABUXNKEY@@@Z	V3	PASS	bdsecuritykey-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1669224-1669228;src/bd/bdSecurityKeyMap.cpp:29-31	Body delegates to XNetRegisterKey with the ID and key references and returns its zero-status result.
0x0089EAC0	?put@bdSecurityKeyMap@@QAE_NABUXNKID@@ABUXNKEY@@@Z	V4	PASS	bdsecuritykey-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1669224-1669228;src/bd/bdSecurityKeyMap.cpp:29-31	Release/source API call, argument constness, zero-status predicate, and return behavior match.
0x0089EAE0	?remove@bdSecurityKeyMap@@QAE_NABUXNKID@@@Z	V3	PASS	bdsecuritykey-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1669230-1669234;src/bd/bdSecurityKeyMap.cpp:36-38	Body delegates to XNetUnregisterKey with the ID reference and returns its zero-status result.
0x0089EAE0	?remove@bdSecurityKeyMap@@QAE_NABUXNKID@@@Z	V4	PASS	bdsecuritykey-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1669230-1669234;src/bd/bdSecurityKeyMap.cpp:36-38	Release/source API call, const ID parameter, zero-status predicate, and return behavior match.
0x0089EB00	?get@bdSecurityKeyMap@@QAE_NABUXNKID@@AAUXNKEY@@@Z	V3	PASS	bdsecuritykey-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1669236-1669255;src/bd/bdSecurityKeyMap.cpp:43-51	Body emits the release diagnostic explaining Xbox key handling is external and returns false.
0x0089EB00	?get@bdSecurityKeyMap@@QAE_NABUXNKID@@AAUXNKEY@@@Z	V4	PASS	bdsecuritykey-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1669236-1669255;src/bd/bdSecurityKeyMap.cpp:43-51	Release/source diagnostic text, source path, line, logging category, argument ABI, and false result match.
0x0089EB40	?contains@bdSecurityKeyMap@@QAE_NABUXNKID@@@Z	V3	PASS	bdsecuritykey-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1669257-1669276;src/bd/bdSecurityKeyMap.cpp:55-63	Body emits the release diagnostic explaining Xbox key handling is external and returns false.
0x0089EB40	?contains@bdSecurityKeyMap@@QAE_NABUXNKID@@@Z	V4	PASS	bdsecuritykey-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1669257-1669276;src/bd/bdSecurityKeyMap.cpp:55-63	Release/source diagnostic text, source path, line, logging category, const ID ABI, and false result match.
