ida_ea	name	gate	result	session	date	source_ref	detail
0x008081F0	?SetParam@apsAction@@QAEXHM@Z	V3	PASS	ida-manual-aps-action-20260830	2026-08-30	src/aeps/apsAction.cpp:70-75	Stores the requested float with the release bounds assertion and apsArray bounds-checked write.
0x008081F0	?SetParam@apsAction@@QAEXHM@Z	V4	PASS	ida-manual-aps-action-20260830	2026-08-30	IDA:0x008081F0;src/aeps/apsAction.cpp:70-75	Release/source match the size guard, exact source assertion (file/line/expression/description), inlined array bounds check, and indexed float store.
0x00808260	?SetDomain@apsAction@@QAEXHPAVapsDomain@@@Z	V3	PASS	ida-manual-aps-action-20260830	2026-08-30	src/aeps/apsAction.cpp:82-87	Stores a domain pointer through the release bounds assertion and apsArray indexed write.
0x00808260	?SetDomain@apsAction@@QAEXHPAVapsDomain@@@Z	V4	PASS	ida-manual-aps-action-20260830	2026-08-30	IDA:0x00808260;src/aeps/apsAction.cpp:82-87	Release/source match the domain-size guard, exact source assertion strings, inlined apsArray bounds assertion, and pointer store for valid and invalid indices.
0x008082F0	?Fixup@apsAction@@QAEXABUapsFixupParams@@@Z	V3	PASS	ida-manual-aps-action-20260830	2026-08-30	src/aeps/apsAction.cpp:97-122	Finds and installs the action vtable, relocates serialized arrays, and recursively fixes non-null domains.
0x008082F0	?Fixup@apsAction@@QAEXABUapsFixupParams@@@Z	V4	PASS	ida-manual-aps-action-20260830	2026-08-30	IDA:0x008082F0;src/aeps/apsAction.cpp:97-122	Release/source match the lookup loop, tlFatal text, vtable assignment, conditional mParams/mDomains relocation, per-element bounds checks, pointer rebasing, and apsDomain::Fixup call.
0x00808430	??1apsAction@@UAE@XZ	V3	PASS	ida-manual-aps-action-20260830	2026-08-30	src/aeps/apsAction.cpp:35-64	Frees each non-null owned domain, then domain and parameter buffers with pak-allocation state restoration and zeroing.
0x00808430	??1apsAction@@UAE@XZ	V4	PASS	ida-manual-aps-action-20260830	2026-08-30	IDA:0x00808430;src/aeps/apsAction.cpp:35-64	Release/source match domain iteration/destruction/free, allocator calls, SetPakAllocs save/restore, array member clearing, and compiler-generated apsAction/apsVirtualBase vtable transitions.
0x00808500	??0apsAction@@IAE@HHW4IterationStyle@0@I@Z	V3	PASS	ida-manual-aps-action-20260830	2026-08-30	src/aeps/apsAction.cpp:20-28	Constructs parameter/domain arrays, stores iteration style and required fields, and initializes parameter bounds.
0x00808500	??0apsAction@@IAE@HHW4IterationStyle@0@I@Z	V4	PASS	ida-manual-aps-action-20260830	2026-08-30	IDA:0x00808500;src/aeps/apsAction.cpp:20-28	Release/source match vtable setup, apsArray fill construction (float zero/domain null), member assignments, and SetParam bounds initialization to -FLT_MAX and FLT_MAX including exact assertion behavior.
