ida_ea	name	gate	result	session	date	source_ref	detail
0x009EC500	?create@bdSocket@@UAE_N_N@Z	V3	PASS	ida-manual-bd-socket-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914148-1914174;src/bd/bdSocket.cpp:24-38	Release checks the existing handle, creates the platform socket, stores it, and returns the valid-handle plus nonblocking result; source matches.
0x009EC500	?create@bdSocket@@UAE_N_N@Z	V4	PASS	ida-manual-bd-socket-20260830	2026-08-30	IDA:0x009EC500;c3_bin/codmp_xboxr.xbe.c:1914148-1914174;src/bd/bdSocket.cpp:24-38	Release/source control flow, assertion logging, platform call, handle assignment, and virtual setBlocking(false) result match; emitted ABI is exact.
0x009EC5A0	?bind@bdSocket@@UAE?AW4bdSocketStatusCode@@ABVbdAddr@@@Z	V3	PASS	ida-manual-bd-socket-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914177-1914190;src/bd/bdSocket.cpp:41-46	Release obtains the address and port from bdAddr and delegates to bdPlatformSocket::bind; source matches.
0x009EC5A0	?bind@bdSocket@@UAE?AW4bdSocketStatusCode@@ABVbdAddr@@@Z	V4	PASS	ida-manual-bd-socket-20260830	2026-08-30	IDA:0x009EC5A0;c3_bin/codmp_xboxr.xbe.c:1914177-1914190;src/bd/bdSocket.cpp:41-46	Release/source call sequence and return propagation match, and class bdAddr declaration now emits the exact release ABI.
0x009EC5E0	?sendTo@bdSocket@@UAEHABVbdAddr@@PBXI@Z	V3	PASS	ida-manual-bd-socket-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914193-1914206;src/bd/bdSocket.cpp:59-63	Release obtains destination address and port then delegates buffer and length to bdPlatformSocket::sendTo; source matches.
0x009EC5E0	?sendTo@bdSocket@@UAEHABVbdAddr@@PBXI@Z	V4	PASS	ida-manual-bd-socket-20260830	2026-08-30	IDA:0x009EC5E0;c3_bin/codmp_xboxr.xbe.c:1914193-1914206;src/bd/bdSocket.cpp:59-63	Release/source call sequence and return propagation match; emitted const class-reference ABI is exact.
0x009EC630	?receiveFrom@bdSocket@@UAEHAAVbdAddr@@PAXI@Z	V3	PASS	ida-manual-bd-socket-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914209-1914234;src/bd/bdSocket.cpp:65-76	Release constructs a temporary bdInAddr, receives from the platform, updates bdAddr on success or connection reset, and returns status; source matches.
0x009EC630	?receiveFrom@bdSocket@@UAEHAAVbdAddr@@PAXI@Z	V4	PASS	ida-manual-bd-socket-20260830	2026-08-30	IDA:0x009EC630;c3_bin/codmp_xboxr.xbe.c:1914209-1914234;src/bd/bdSocket.cpp:65-76	Release/source status test, temporary address construction, address/port assignment, cleanup, and return match; emitted mutable class-reference ABI is exact.
0x009EC6F0	?close@bdSocket@@UAE_NXZ	V3	PASS	ida-manual-bd-socket-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914237-1914240;src/bd/bdSocket.cpp:79-82	Release directly delegates close of the handle to bdPlatformSocket; source matches.
0x009EC6F0	?close@bdSocket@@UAE_NXZ	V4	PASS	ida-manual-bd-socket-20260830	2026-08-30	IDA:0x009EC6F0;c3_bin/codmp_xboxr.xbe.c:1914237-1914240;src/bd/bdSocket.cpp:79-82	Release/source direct delegation and bool result match exactly.
0x009EC700	?setBlocking@bdSocket@@UAE_N_N@Z	V3	PASS	ida-manual-bd-socket-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914245-1914248;src/bd/bdSocket.cpp:86-88	Release directly delegates the requested blocking mode to bdPlatformSocket; source matches.
0x009EC700	?setBlocking@bdSocket@@UAE_N_N@Z	V4	PASS	ida-manual-bd-socket-20260830	2026-08-30	Release/source direct delegation and bool result match exactly.
0x009EC720	?getHandle@bdSocket@@QBEHXZ	V3	PASS	ida-manual-bd-socket-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914251-1914269;src/bd/bdSocket.cpp:93-103	Release logs when the handle is invalid and returns the stored handle; source matches.
0x009EC720	?getHandle@bdSocket@@QBEHXZ	V4	PASS	ida-manual-bd-socket-20260830	2026-08-30	IDA:0x009EC720;c3_bin/codmp_xboxr.xbe.c:1914251-1914269;src/bd/bdSocket.cpp:93-103	Release/source invalid-handle diagnostic and return match exactly.
0x009EC7A0	?bind@bdSocket@@UAE?AW4bdSocketStatusCode@@G@Z	V3	PASS	ida-manual-bd-socket-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914281-1914305;src/bd/bdSocket.cpp:49-55	Release builds an Any-address bdAddr for the port and delegates to the address overload; source matches.
0x009EC7A0	?bind@bdSocket@@UAE?AW4bdSocketStatusCode@@G@Z	V4	PASS	ida-manual-bd-socket-20260830	2026-08-30	IDA:0x009EC7A0;c3_bin/codmp_xboxr.xbe.c:1914281-1914305;src/bd/bdSocket.cpp:49-55	Release/source temporary construction, overload dispatch, cleanup, and status propagation match exactly.
