ida_ea	va	name	signature	family
0x00448B50	0x00838050	?Init@StatusBar@@YAXXZ	void __cdecl StatusBar::Init(void)	g.o
0x00448B70	0x00838070	?RenderResources@MemGraph@@YAXXZ	void __cdecl MemGraph::RenderResources(void)	g.o
0x00448B80	0x00838080	?Init@DObjHandleDb@@QAEXXZ	public: void __thiscall DObjHandleDb::Init(void)	g.o
0x00448BB0	0x008380B0	?Player_CheckFriendlyFireUse@@YA_NPAVPlayerState@@@Z	bool __cdecl Player_CheckFriendlyFireUse(class PlayerState *)	g.o
0x00448BD0	0x008380D0	?G_SetClientSound@@YAXPAVEntity@@@Z	void __cdecl G_SetClientSound(class Entity *)	g.o
0x00448BE0	0x008380E0	?GetEntityTouchTriggerType@@YAHPAVEntity@@@Z	int __cdecl GetEntityTouchTriggerType(class Entity *)	g.o
0x00448E40	0x00838340	?G_RunClient@@YAXPAVEntity@@@Z	void __cdecl G_RunClient(class Entity *)	g.o
0x00448E50	0x00838350	?G_SetClientContents@@YAXPAVEntity@@@Z	void __cdecl G_SetClientContents(class Entity *)	g.o
0x00448F00	0x00838400	?ClientInactivityTimer@@YAHPAVEntity@@@Z	int __cdecl ClientInactivityTimer(class Entity *)	g.o
0x00448F10	0x00838410	?ClientSpectatorInactivityTimer@@YAHPAVEntity@@@Z	int __cdecl ClientSpectatorInactivityTimer(class Entity *)	g.o
0x00448F20	0x00838420	?ClientIntermissionThink@@YAXPAVEntity@@PAUusercmd_s@@@Z	void __cdecl ClientIntermissionThink(class Entity *,struct usercmd_s *)	g.o
0x00448F50	0x00838450	?IntermissionClientEndFrame@@YAXPAVEntity@@@Z	void __cdecl IntermissionClientEndFrame(class Entity *)	g.o
0x00448FB0	0x008384B0	?G_ClientCanSpectateTeam@@YAHPAVEntity@@W4team_t@@@Z	int __cdecl G_ClientCanSpectateTeam(class Entity *,enum team_t)	g.o
0x00448FE0	0x008384E0	?GetFollowPlayerState@@YAHHPAVPlayerState@@@Z	int __cdecl GetFollowPlayerState(int,class PlayerState *)	g.o
0x00449060	0x00838560	?G_GetActorProneInfo@@YAPAUactor_prone_info_t@@PAUactor_s@@@Z	struct actor_prone_info_t * __cdecl G_GetActorProneInfo(struct actor_s *)	g.o
0x004490D0	0x008385D0	?G_InitActorProneInfo@@YAXPAUactor_s@@@Z	void __cdecl G_InitActorProneInfo(struct actor_s *)	g.o
0x00449100	0x00838600	?G_ActorExitProne@@YAXPAUactor_s@@H@Z	void __cdecl G_ActorExitProne(struct actor_s *,int)	g.o
0x004491D0	0x008386D0	?G_ReduceOriginError@@YAXQAM0M@Z	void __cdecl G_ReduceOriginError(float * const,float * const,float)	g.o
0x004492B0	0x008387B0	?G_ReduceAnglesError@@YAXQAM0MM@Z	void __cdecl G_ReduceAnglesError(float * const,float * const,float,float)	g.o
0x00449350	0x00838850	?GScr_GetStartOrigin@@YAXXZ	void __cdecl GScr_GetStartOrigin(void)	g.o
0x00449360	0x00838860	?GScr_GetStartAngles@@YAXXZ	void __cdecl GScr_GetStartAngles(void)	g.o
0x00449370	0x00838870	?GScr_GetCycleOriginOffset@@YAXXZ	void __cdecl GScr_GetCycleOriginOffset(void)	g.o
0x00449380	0x00838880	?G_SetupSpawnPoint@@YAXPAVEntity@@@Z	void __cdecl G_SetupSpawnPoint(class Entity *)	g.o
