ida_ea	name	gate	result	session	date	source_ref	detail
0x008AA660	?serialize@bdDataChunk@@MAEIPAEI@Z	V3	PASS	chunk-serialize-access-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.map:23119;build/Debug/cod3_bd.lib;src/bd/bd_types.h:1280-1305	Release emits the data-chunk serialize override as protected MAEI; source now uses the exact protected override while preserving serialized payload behavior.
0x008AA660	?serialize@bdDataChunk@@MAEIPAEI@Z	V4	PASS	chunk-serialize-access-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684420-1684550;src/bd/bdDataChunk.cpp:176-238	Release/source data-chunk serialization branches, encrypted/unencrypted payload handling, bounds diagnostics, and protected ABI match.
0x008ABBF0	?serialize@bdCookieEchoChunk@@MAEIPAEI@Z	V3	PASS	chunk-serialize-access-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.map:23179;build/Debug/cod3_bd.lib;src/bd/bd_types.h:1120-1135	Release emits the cookie-echo serialize override as protected MAEI; source now uses the exact access ABI.
0x008ABBF0	?serialize@bdCookieEchoChunk@@MAEIPAEI@Z	V4	PASS	chunk-serialize-access-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1683090-1683284;src/bd/bdCookie.cpp:307-340	Release/source cookie-echo serialization checks cookie/raw-cookie state, writes the base/header and cookie bytes, and returns the same size/error paths.
0x008ABF10	?serialize@bdCookieAckChunk@@MAEIPAEI@Z	V3	PASS	chunk-serialize-access-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.map:23187;build/Debug/cod3_bd.lib;src/bd/bd_types.h:1145-1155	Release emits the cookie-ack serialize override as protected MAEI; source now uses the exact access ABI.
0x008ABF10	?serialize@bdCookieAckChunk@@MAEIPAEI@Z	V4	PASS	chunk-serialize-access-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1683285-1683330;src/bd/bdCookie.cpp:420-434	Release/source cookie-ack serialization writes the base header, flags, and zero field with matching return behavior.
0x008AC0B0	?serialize@bdHeartbeatChunk@@MAEIPAEI@Z	V3	PASS	chunk-serialize-access-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.map:23195;build/Debug/cod3_bd.lib;src/bd/bd_types.h:1000-1015	Release emits the heartbeat serialize override as protected MAEI; source now uses the exact access ABI.
0x008AC0B0	?serialize@bdHeartbeatChunk@@MAEIPAEI@Z	V4	PASS	chunk-serialize-access-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1683386-1683410;src/bd/bdHeartbeatChunk.cpp:44-57	Release/source heartbeat serialization writes the base header, flags, and zero field with matching packer calls and return size.
0x008AC240	?serialize@bdHeartbeatAckChunk@@MAEIPAEI@Z	V3	PASS	chunk-serialize-access-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.map:23203;build/Debug/cod3_bd.lib;src/bd/bd_types.h:1021-1036	Release emits the heartbeat-ack serialize override as protected MAEI; source now uses the exact access ABI.
0x008AC240	?serialize@bdHeartbeatAckChunk@@MAEIPAEI@Z	V4	PASS	chunk-serialize-access-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1683420-1683445;src/bd/bdHeartbeatChunk.cpp:115-128	Release/source heartbeat-ack serialization writes the base header, flags, and zero field with matching packer calls and return size.
