index	status	map_line
1	PORTED	0002:003be230 ??0IgnoredAssert@AeAssert@@QAE@XZ 00BAD730 f i AeAssert.o
2	VERIFIED	0002:003be240 ?IsIgnored@AeAssert@@YA_NXZ 00BAD740 f AeAssert.o
3	VERIFIED	0002:003be430 ?SetupRouterAssert@AeAssert@@YAXHPBD000000@Z 00BAD930 f AeAssert.o
4	VERIFIED	0002:003be4f0 ?PumpXenonUI@AeAssert@@YAXXZ 00BAD9F0 f AeAssert.o
5	PORTED	0002:003be500 ?OnScreenMessageHandler@AeAssert@@YA_NW4ONSCREEN_MESSAGE_TYPE@1@PAD@Z 00BADA00 f AeAssert.o
6	VERIFIED	0002:003bec70 ?Assert@AeAssert@@YA_NPBDZZ 00BAE170 f AeAssert.o
7	VERIFIED	0002:003becb0 ?Error@AeAssert@@YA_NPBDZZ 00BAE1B0 f AeAssert.o
8	VERIFIED	0002:003becf0 ?Warning@AeAssert@@YA_NPBDZZ 00BAE1F0 f AeAssert.o
9	PORTED	0002:003bed30 ??0InfiniteRecursionStopper@AeAssert@@QAE@AA_N@Z 00BAE230 f i AeAssert.o
10	PORTED	0002:003bed50 ??1InfiniteRecursionStopper@AeAssert@@QAE@XZ 00BAE250 f i AeAssert.o
11	SKIPPED	0002:003bed60 ??0?$ae_fixed_string@$0BAAA@G@@QAE@XZ 00BAE260 f i AeAssert.o  SKIPPED: inline template/container helper; supplied by its template definition
12	SKIPPED	0002:003bed70 ??$tl_max@HH@@YAHABH0@Z 00BAE270 f i AeAssert.o  SKIPPED: inline template/container helper; supplied by its template definition
