ida_ea	name	gate	result	session	date	source_ref	detail
0x008AD670	?getCumulativeAck@bdSAckChunk@@QBEGXZ	V3	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684861-1684866;src/bd/bdSAckChunk.cpp:17-19	Release returns m_cumulativeAck; source returns the same field.
0x008AD670	?getCumulativeAck@bdSAckChunk@@QBEGXZ	V4	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684861-1684866;src/bd/bdSAckChunk.cpp:17-19	Equivalent const unsigned-short accessor.
0x008AD680	?setCumulativeAck@bdSAckChunk@@QAEXG@Z	V3	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684867-1684873;src/bd/bdSAckChunk.cpp:24-26	Release stores the supplied cumulative acknowledgement; source performs the same assignment.
0x008AD680	?setCumulativeAck@bdSAckChunk@@QAEXG@Z	V4	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684867-1684873;src/bd/bdSAckChunk.cpp:24-26	Equivalent setter behavior and ABI.
0x008AD6A0	?setWindowCredit@bdSAckChunk@@QAEXH@Z	V3	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684880-1684886;src/bd/bdSAckChunk.cpp:31-33	Release stores the supplied window credit; source performs the same assignment.
0x008AD6A0	?setWindowCredit@bdSAckChunk@@QAEXH@Z	V4	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684880-1684886;src/bd/bdSAckChunk.cpp:31-33	Equivalent setter behavior and signed-int ABI.
0x008AD6B0	?getWindowCredit@bdSAckChunk@@QBEHXZ	V3	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684887-1684892;src/bd/bdSAckChunk.cpp:38-40	Release returns m_windowCredit; source returns the same field.
0x008AD6B0	?getWindowCredit@bdSAckChunk@@QBEHXZ	V4	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684887-1684892;src/bd/bdSAckChunk.cpp:38-40	Equivalent const signed-credit accessor.
0x008AD6C0	?getFlags@bdSAckChunk@@QBE?AW4bdSAckFlags@1@XZ	V3	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684893-1684898;src/bd/bdSAckChunk.cpp:45-47	Release returns m_flags; source returns the same enum field.
0x008AD6C0	?getFlags@bdSAckChunk@@QBE?AW4bdSAckFlags@1@XZ	V4	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684893-1684898;src/bd/bdSAckChunk.cpp:45-47	Equivalent const enum accessor.
0x008ADA00	?getSerializedSize@bdSAckChunk@@UAEIXZ	V3	PASS	bdsack-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1685092-1685135;src/bd/bdSAckChunk.cpp:93-95	Release computes serialized size through serialize with the maximum-size sentinel; source does the same.
