ida_ea	name	gate	result	session	date	source_ref	detail
0x00844780	?nglSetMeshSphere@@YAXPAUnglMesh@@ABVPosition3@math@@M@Z	V3	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	src/ngl/ngl_meshedit.cpp:29-34	Source copies Center xyz and Radius into the four release sphere components.
0x00844780	?nglSetMeshSphere@@YAXPAUnglMesh@@ABVPosition3@math@@M@Z	V4	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	IDA:0x00844780;src/ngl/ngl_meshedit.cpp:29-34	Release/source perform the same ordered four float stores with no extra guards or side effects.
0x00844820	?nglAddMeshSection@@YAXPAUnglMesh@@PAUnglMeshSection@@PAUnglMaterial@@H@Z	V3	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	src/ngl/ngl_meshedit.cpp:40-61	Source scans the section table for the first null slot, assigns Section/Material/Flags, and asserts/debugbreaks when no slot exists.
0x00844820	?nglAddMeshSection@@YAXPAUnglMesh@@PAUnglMeshSection@@PAUnglMaterial@@H@Z	V4	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	IDA:0x00844820;src/ngl/ngl_meshedit.cpp:40-61	Release/source preserve the zero-section path, first-free-slot scan, assignment order, assert file/line/strings, and break behavior.
0x00844890	?nglDestroyMesh@@YAXPAUnglMesh@@@Z	V3	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	src/ngl/ngl_meshedit.cpp:67-82	Source null-checks, waits for referenced meshes, destroys flagged sections, and frees section table and mesh.
0x00844890	?nglDestroyMesh@@YAXPAUnglMesh@@@Z	V4	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	IDA:0x00844890;src/ngl/ngl_meshedit.cpp:67-82	Release/source match async-release warning text, nglCanReleaseMesh/ngliWaitForResource flow, flagged-section loop, and free order.
0x00844910	?nglCreateMeshClone@@YAPAUnglMesh@@PAU1@@Z	V3	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	src/ngl/ngl_meshedit.cpp:87-126	Source null-checks, allocates/zeros clone and section table, copies section references and mesh metadata, and conditionally clones LODs.
0x00844910	?nglCreateMeshClone@@YAPAUnglMesh@@PAU1@@Z	V4	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	IDA:0x00844910;src/ngl/ngl_meshedit.cpp:87-126	Release/source allocation sizes, alignments, flags, section initialization, LOD memcpy, metadata copies, and sphere stores match.
0x00844A10	?nglCopyMesh@@YAXPAUnglMesh@@0@Z	V3	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	src/ngl/ngl_meshedit.cpp:131-141	Source asserts equal section counts and copies each destination section marked unique.
0x00844A10	?nglCopyMesh@@YAXPAUnglMesh@@0@Z	V4	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	IDA:0x00844A10;src/ngl/ngl_meshedit.cpp:131-141	Release/source match assert file/line/strings, loop bound, destination Flags bit test, and nglCopySection arguments.
0x00844A80	?nglMakeSectionUnique@@YAXPAUnglMesh@@H@Z	V3	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	src/ngl/ngl_meshedit.cpp:146-153	Source copies a shared section only when unique flag bit 1 is clear, then sets that bit.
0x00844A80	?nglMakeSectionUnique@@YAXPAUnglMesh@@H@Z	V4	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	IDA:0x00844A80;src/ngl/ngl_meshedit.cpp:146-153	Release/source use the same indexed entry, nglCreateSectionCopy input, and Flags OR operation.
0x00844AC0	?nglCreateScratchMesh@@YAPAUnglMesh@@II@Z	V3	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	src/ngl/ngl_meshedit.cpp:158-181	Source allocates/zeros scratch mesh and sections, initializes all section slots, clears skeleton, and sets infinite sphere radius.
0x00844AC0	?nglCreateScratchMesh@@YAPAUnglMesh@@II@Z	V4	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	IDA:0x00844AC0;src/ngl/ngl_meshedit.cpp:158-181	Release/source match nglListAlloc sizes/alignments, scratch flag 0x20000, section initialization, zero sphere center, and radius bit pattern 1956496814.
0x00844B90	?nglCreateMesh@@YAPAUnglMesh@@II@Z	V3	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	src/ngl/ngl_meshedit.cpp:187-212	Source dispatches scratch meshes, allocates/zeros regular meshes and sections, assigns created name, and initializes metadata.
0x00844B90	?nglCreateMesh@@YAPAUnglMesh@@II@Z	V4	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	IDA:0x00844B90;src/ngl/ngl_meshedit.cpp:187-212	Release/source match scratch flag test, tlMemAlloc sizes/alignments/flags, created-name assignment, section initialization, and infinite sphere value.
0x00844C80	?nglCreateMeshCopy@@YAPAUnglMesh@@PAU1@@Z	V3	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	src/ngl/ngl_meshedit.cpp:217-228	Source clones the mesh then deep-copies source sections marked unique while preserving already-unique clone flags.
0x00844C80	?nglCreateMeshCopy@@YAPAUnglMesh@@PAU1@@Z	V4	PASS	ida-manual-ngl-meshedit-20260829	2026-08-29	IDA:0x00844C80;src/ngl/ngl_meshedit.cpp:217-228	Release/source match clone call, section loop, source flag test, clone flag guard, section-copy input, and flag update.
