ida_ea	name	gate	result	session	date	source_ref	detail
0x008052A0	?RegisterVShader@apsRectangleRender@@YAXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsRectangleRenderer.cpp:73	Out-of-line shader-registration body is present and non-empty.
0x008052A0	?RegisterVShader@apsRectangleRender@@YAXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008052A0;src/aeps/apsRectangleRenderer.cpp:73	IDA release calls nglDxRegisterVShader(VS,VShaderTable[0]); source preserves the same call and operands.
0x008052C0	?RegisterPShader@apsRectangleRenderPixel@@YAXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsRectangleRenderer.cpp:81	Out-of-line shader-registration body is present and non-empty.
0x008052C0	?RegisterPShader@apsRectangleRenderPixel@@YAXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008052C0;src/aeps/apsRectangleRenderer.cpp:81	IDA release calls nglDxRegisterPShader(PS,PShaderTable[0]); source preserves the same call and operands.
0x008052E0	?InitPShader@apsRectangleRenderPixel@@YAXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsRectangleRenderer.cpp:89	Out-of-line shader-registration body is present and non-empty.
0x008052E0	?InitPShader@apsRectangleRenderPixel@@YAXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008052E0;src/aeps/apsRectangleRenderer.cpp:89	IDA release calls nglDxRegisterPShader(PS,PShaderTable[0]); source preserves the same call and operands.
0x008051F0	??0apsRectangleRenderer@@QAE@ABVcArgs@0@@Z	V3	PASS	ida-manual-aps-rectangle-20260830	2026-08-30	src/aeps/apsRectangleRenderer.cpp:40-43	Constructs the billboard base and assigns the velocity-dependent rectangle field mask.
0x008051F0	??0apsRectangleRenderer@@QAE@ABVcArgs@0@@Z	V4	PASS	ida-manual-aps-rectangle-20260830	2026-08-30	IDA:0x008051F0;src/aeps/apsRectangleRenderer.cpp:40-43	Release/source match base construction, concrete vtable transition, and mFields values 213 or 30933 based on mVelocityTracked.
0x00805230	?Init@apsRectangleRenderer@@SAXXZ	V3	PASS	ida-manual-aps-rectangle-20260830	2026-08-30	src/aeps/apsRectangleRenderer.cpp:49-54;src/aeps/apsRectangleRendererShaderData.cpp:6-24	Performs both rectangle shader registrations using restored table storage.
0x00805230	?Init@apsRectangleRenderer@@SAXXZ	V4	PASS	ida-manual-aps-rectangle-20260830	2026-08-30	IDA:0x00805230;src/aeps/apsRectangleRenderer.cpp:49-54;src/aeps/apsRectangleRendererShaderData.cpp:6-44	Release/source match the unconditional vertex then pixel registration calls and table index zero; restored shader payloads provide release data.
0x00805260	?Render@apsRectangleRenderer@@UAE?AW4eRenderResult@apsRenderer@@ABUapsRendererRenderInfo@@@Z	V3	PASS	ida-manual-aps-rectangle-20260830	2026-08-30	src/aeps/apsRectangleRenderer.cpp:62-70	Checks and asserts against unsupported color field, then dispatches the rectangle DefaultRender path.
0x00805260	?Render@apsRectangleRenderer@@UAE?AW4eRenderResult@apsRenderer@@ABUapsRendererRenderInfo@@@Z	V4	PASS	ida-manual-aps-rectangle-20260830	2026-08-30	IDA:0x00805260;src/aeps/apsRectangleRenderer.cpp:62-70	Release/source match exact assertion file/line/expression/description, debugbreak branch, and DefaultRender specialization call.
