ida_ea	name	gate	result	session	date	source_ref	detail
0x007BB1D0	?mem_alt_sbrk@@YAPAXJ@Z	V3	PASS	direct-release-reconstruction-20260829	2026-08-29	src/core/memory/mem_heap.cpp:574	Implemented the release heap-break cursor semantics with bounds checks and signed increments.
0x007BB1D0	?mem_alt_sbrk@@YAPAXJ@Z	V4	PASS	direct-release-reconstruction-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1477692	Release body returns the prior cur_left value, rejects an out-of-range increment, and advances cur_left.
0x007BBB00	?mem_heap_free_check_reserve@@YA_NPAUmem_heap@@PAX@Z	V3	PASS	direct-release-reconstruction-20260829	2026-08-29	src/core/memory/mem_heap.cpp:642	Implemented reserve-chain ownership search and private free for the containing heap.
0x007BBB00	?mem_heap_free_check_reserve@@YA_NPAUmem_heap@@PAX@Z	V4	PASS	direct-release-reconstruction-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1478152	Release body traverses reserve heaps, frees the block in the containing arena, and returns success.
0x004DD8D0	?GetSize@nalHeap@@UAEHXZ	V3	PASS	release-trivial-body-audit-20260829	2026-08-29	src/game/core/effect_events.cpp:944	Source body is a constant return and the release body is the same constant-return implementation.
0x004DD8D0	?GetSize@nalHeap@@UAEHXZ	V4	PASS	release-trivial-body-audit-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:0x004DD8D0	Release body is a constant return matching the source body.
0x004DD8E0	?GetUsedSpace@nalHeap@@UAEHXZ	V3	PASS	release-trivial-body-audit-20260829	2026-08-29	src/game/core/effect_events.cpp:950	Source body is a constant return and the release body is the same constant-return implementation.
0x004DD8E0	?GetUsedSpace@nalHeap@@UAEHXZ	V4	PASS	release-trivial-body-audit-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:0x004DD8E0	Release body is a constant return matching the source body.
0x004DE470	?get_dlist_node_offset@RumbleEffectInstance@@SAHXZ	V3	PASS	release-trivial-body-audit-20260829	2026-08-29	src/game/core/rumble.cpp:412	Source body is a constant return and the release body is the same constant-return implementation.
0x004DE470	?get_dlist_node_offset@RumbleEffectInstance@@SAHXZ	V4	PASS	release-trivial-body-audit-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:0x004DE470	Release body is a constant return matching the source body.
0x00518640	?IsType@nalGeneric@@YA_NABV?$nalGenericComponentHandle@X@1@I@Z	V3	PASS	release-trivial-body-audit-20260829	2026-08-29	src/animation/nal.cpp:8217	Source body is a constant return and the release body is the same constant-return implementation.
0x00518640	?IsType@nalGeneric@@YA_NABV?$nalGenericComponentHandle@X@1@I@Z	V4	PASS	release-trivial-body-audit-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:0x00518640	Release body is a constant return matching the source body.
0x0051F170	?SV_FX_Save@@YAHXZ	V3	PASS	release-trivial-body-audit-20260829	2026-08-29	src/game/sv/sv_game.cpp:298	Source body is a constant return and the release body is the same constant-return implementation.
0x0051F170	?SV_FX_Save@@YAHXZ	V4	PASS	release-trivial-body-audit-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:0x0051F170	Release body is a constant return matching the source body.
0x0051F180	?SV_SaveGameMessages@@YAHXZ	V3	PASS	release-trivial-body-audit-20260829	2026-08-29	src/game/sv/sv_game.cpp:305	Source body is a constant return and the release body is the same constant-return implementation.
0x0051F180	?SV_SaveGameMessages@@YAHXZ	V4	PASS	release-trivial-body-audit-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:0x0051F180	Release body is a constant return matching the source body.
0x0055FE20	?IsDelayCreate@InteractMetaAnimData@@UAEHXZ	V3	PASS	release-trivial-body-audit-20260829	2026-08-29	src/animation/nal.cpp:29591	Source body is a constant return and the release body is the same constant-return implementation.
0x0055FE20	?IsDelayCreate@InteractMetaAnimData@@UAEHXZ	V4	PASS	release-trivial-body-audit-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:0x0055FE20	Release body is a constant return matching the source body.
0x005615A0	?GetPoseSize@CODNoteTrack@@UBEHXZ	V3	PASS	release-trivial-body-audit-20260829	2026-08-29	src/animation/nal.cpp:11487	Source body is a constant return and the release body is the same constant-return implementation.
0x005615A0	?GetPoseSize@CODNoteTrack@@UBEHXZ	V4	PASS	release-trivial-body-audit-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:0x005615A0	Release body is a constant return matching the source body.
