ida_ea	name	gate	result	session	date	source_ref	detail
0x008A4020	??1bdLoopbackConnection@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:17	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (bdLoopbackConnection::~bdLoopbackConnection); no user logic is omitted.
0x008A3C80	?updateStatus@bdLoopbackConnection@@IAEXXZ	V3	PASS	ida-manual-bd-loopback-20260830	2026-08-30	src/bd/bdLoopbackConnection.cpp:78-94	Notifies listeners on connecting/disconnecting transitions and advances status states.
0x008A3C80	?updateStatus@bdLoopbackConnection@@IAEXXZ	V4	PASS	ida-manual-bd-loopback-20260830	2026-08-30	IDA:0x008A3C80;src/bd/bdLoopbackConnection.cpp:78-94	Release/source match connecting and disconnecting state tests, listener iteration/callbacks, and resulting status values; other states are no-ops.
0x008A3FA0	?getMessageToDispatch@bdLoopbackConnection@@UAE_NAAV?$bdReference@VbdMessage@@@@@Z	V3	PASS	ida-manual-bd-loopback-20260830	2026-08-30	src/bd/bdLoopbackConnection.cpp:54-69	Peeks and transfers queued messages with reference-count release/addRef, dequeues, and reports availability.
0x008A3FA0	?getMessageToDispatch@bdLoopbackConnection@@UAE_NAAV?$bdReference@VbdMessage@@@@@Z	V4	PASS	ida-manual-bd-loopback-20260830	2026-08-30	IDA:0x008A3FA0;src/bd/bdLoopbackConnection.cpp:54-69	Release/source match queue-size gate, output reference replacement/release, peek/dequeue calls, addRef behavior, and true/false result.
0x008A3A60	?receive@bdLoopbackConnection@@UAE_NPAEI@Z	V3	PASS	ida-manual-bd-loopback-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1674850-1674858;src/bd/bdLoopbackConnection.cpp:23-28	Release always returns true and ignores the input buffer and size; source has the same behavior.
0x008A3A60	?receive@bdLoopbackConnection@@UAE_NPAEI@Z	V4	PASS	ida-manual-bd-loopback-20260830	2026-08-30	IDA:0x008A3A60;c3_bin/codmp_xboxr.xbe.c:1674850-1674858;src/bd/bdLoopbackConnection.cpp:23-28	Release/source control flow and return value match exactly; the const input pointer ABI is unchanged.
0x008A3A70	?checkNewMessages@bdLoopbackConnection@@QAE_NXZ	V3	PASS	ida-manual-bd-loopback-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1674860-1674875;src/bd/bdLoopbackConnection.cpp:31-37	Release reads the pending-message flag, clears it, and returns the prior boolean state; source does the same.
0x008A3A70	?checkNewMessages@bdLoopbackConnection@@QAE_NXZ	V4	PASS	ida-manual-bd-loopback-20260830	2026-08-30	IDA:0x008A3A70;c3_bin/codmp_xboxr.xbe.c:1674860-1674875;src/bd/bdLoopbackConnection.cpp:31-37	Release/source match flag offset, clear-after-read semantics, and boolean result.
0x008A3A80	?getDataToSend@bdLoopbackConnection@@MAEIQAEI@Z	V3	PASS	ida-manual-bd-loopback-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1674878-1674888;src/bd/bdLoopbackConnection.cpp:72-77	Release always returns zero and does not write the output buffer; source has the same behavior.
0x008A3A80	?getDataToSend@bdLoopbackConnection@@MAEIQAEI@Z	V4	PASS	ida-manual-bd-loopback-20260830	2026-08-30	IDA:0x008A3A80;c3_bin/codmp_xboxr.xbe.c:1674878-1674888;src/bd/bdLoopbackConnection.cpp:72-77	Release/source return behavior matches and the definition now uses the release top-level-const buffer ABI.
0x008A40A0	?send@bdLoopbackConnection@@UAE_NV?$bdReference@VbdMessage@@@@_N@Z	V3	PASS	loopback-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1675362-1675398;src/bd/bdLoopbackConnection.cpp:42-54	By-value message send resets the payload read position, enqueues the message, sets the pending flag, and releases the input references as in release.
0x008A40A0	?send@bdLoopbackConnection@@UAE_NV?$bdReference@VbdMessage@@@@_N@Z	V4	PASS	loopback-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1675362-1675398;src/bd/bdLoopbackConnection.cpp:42-54	Release payload cleanup, queue insertion, flag update, and consumed by-value message lifetime match source.
